nohup: ignoring input
2018-04-09 09:29:22.952820: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
2018-04-09 09:29:29.338564: step 0, loss = 4.66 (197.5 examples/sec; 0.648 sec/batch)
2018-04-09 09:29:39.586761: step 10, loss = 4.09 (124.9 examples/sec; 1.025 sec/batch)
2018-04-09 09:29:49.760298: step 20, loss = 3.82 (125.8 examples/sec; 1.017 sec/batch)
2018-04-09 09:29:59.945171: step 30, loss = 3.86 (125.7 examples/sec; 1.018 sec/batch)
2018-04-09 09:30:10.218714: step 40, loss = 3.94 (124.6 examples/sec; 1.027 sec/batch)
2018-04-09 09:30:20.405911: step 50, loss = 3.82 (125.6 examples/sec; 1.019 sec/batch)
2018-04-09 09:30:30.631666: step 60, loss = 3.94 (125.2 examples/sec; 1.023 sec/batch)
2018-04-09 09:30:40.823003: step 70, loss = 3.75 (125.6 examples/sec; 1.019 sec/batch)
2018-04-09 09:30:51.003041: step 80, loss = 3.79 (125.7 examples/sec; 1.018 sec/batch)
2018-04-09 09:31:01.244998: step 90, loss = 3.73 (125.0 examples/sec; 1.024 sec/batch)
2018-04-09 09:31:11.815860: step 100, loss = 3.69 (121.1 examples/sec; 1.057 sec/batch)
2018-04-09 09:31:22.013172: step 110, loss = 3.75 (125.5 examples/sec; 1.020 sec/batch)
2018-04-09 09:31:32.190090: step 120, loss = 3.67 (125.8 examples/sec; 1.018 sec/batch)
2018-04-09 09:31:42.345355: step 130, loss = 3.73 (126.0 examples/sec; 1.016 sec/batch)
2018-04-09 09:31:52.466188: step 140, loss = 3.43 (126.5 examples/sec; 1.012 sec/batch)
2018-04-09 09:32:02.659737: step 150, loss = 3.29 (125.6 examples/sec; 1.019 sec/batch)
2018-04-09 09:32:12.777078: step 160, loss = 3.37 (126.5 examples/sec; 1.012 sec/batch)
2018-04-09 09:32:22.942371: step 170, loss = 3.52 (125.9 examples/sec; 1.017 sec/batch)
2018-04-09 09:32:33.055970: step 180, loss = 3.50 (126.6 examples/sec; 1.011 sec/batch)
2018-04-09 09:32:43.175129: step 190, loss = 3.46 (126.5 examples/sec; 1.012 sec/batch)
2018-04-09 09:32:53.642228: step 200, loss = 3.18 (122.3 examples/sec; 1.047 sec/batch)
2018-04-09 09:33:03.785754: step 210, loss = 3.29 (126.2 examples/sec; 1.014 sec/batch)
2018-04-09 09:33:13.947721: step 220, loss = 2.98 (126.0 examples/sec; 1.016 sec/batch)
2018-04-09 09:33:24.113758: step 230, loss = 3.15 (125.9 examples/sec; 1.017 sec/batch)
2018-04-09 09:33:34.263041: step 240, loss = 3.08 (126.1 examples/sec; 1.015 sec/batch)
2018-04-09 09:33:44.388084: step 250, loss = 3.13 (126.4 examples/sec; 1.013 sec/batch)
2018-04-09 09:33:54.534142: step 260, loss = 3.47 (126.2 examples/sec; 1.015 sec/batch)
2018-04-09 09:34:04.688089: step 270, loss = 3.18 (126.1 examples/sec; 1.015 sec/batch)
2018-04-09 09:34:14.829200: step 280, loss = 2.98 (126.2 examples/sec; 1.014 sec/batch)
2018-04-09 09:34:24.906903: step 290, loss = 3.23 (127.0 examples/sec; 1.008 sec/batch)
2018-04-09 09:34:35.354254: step 300, loss = 2.88 (122.5 examples/sec; 1.045 sec/batch)
2018-04-09 09:34:45.484545: step 310, loss = 3.14 (126.4 examples/sec; 1.013 sec/batch)
2018-04-09 09:34:55.582039: step 320, loss = 3.00 (126.8 examples/sec; 1.010 sec/batch)
2018-04-09 09:35:05.766078: step 330, loss = 2.99 (125.7 examples/sec; 1.018 sec/batch)
2018-04-09 09:35:16.007800: step 340, loss = 2.97 (125.0 examples/sec; 1.024 sec/batch)
2018-04-09 09:35:26.098187: step 350, loss = 2.80 (126.9 examples/sec; 1.009 sec/batch)
2018-04-09 09:35:36.233720: step 360, loss = 2.98 (126.3 examples/sec; 1.014 sec/batch)
2018-04-09 09:35:46.315078: step 370, loss = 2.76 (127.0 examples/sec; 1.008 sec/batch)
2018-04-09 09:35:56.415061: step 380, loss = 3.02 (126.7 examples/sec; 1.010 sec/batch)
2018-04-09 09:36:06.592636: step 390, loss = 2.78 (125.8 examples/sec; 1.018 sec/batch)
2018-04-09 09:36:17.033203: step 400, loss = 2.80 (122.6 examples/sec; 1.044 sec/batch)
2018-04-09 09:36:27.101380: step 410, loss = 2.70 (127.1 examples/sec; 1.007 sec/batch)
2018-04-09 09:36:37.245322: step 420, loss = 2.72 (126.2 examples/sec; 1.014 sec/batch)
2018-04-09 09:36:47.357644: step 430, loss = 2.89 (126.6 examples/sec; 1.011 sec/batch)
2018-04-09 09:36:57.412601: step 440, loss = 2.98 (127.3 examples/sec; 1.005 sec/batch)
